player_id,player,team,club,primary_position,secondary_positions,preferred_foot,weak_foot_note,role_tags,role_family,same_foot_side,inverted_role_possible,two_footed_score,position_flexibility_score,profile_confidence,source_urls,data_origin,source_url,is_estimated,confidence,last_updated,updated_at
US-TIL,Malik Tillman,USA,Bayer Leverkusen,AM,CM,right,,肋部组织者;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/malik-tillman/profil/spieler/709192,transfermarkt+fifa_squad,https://www.transfermarkt.com/malik-tillman/profil/spieler/709192,false,0.82,2026-06-19,2026-06-19
US-DES,Sergiño Dest,USA,PSV,RB,LB,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/sergino-dest/profil/spieler/361104,transfermarkt+fifa_squad,https://www.transfermarkt.com/sergino-dest/profil/spieler/361104,false,0.82,2026-06-19,2026-06-19
AU-IRK,Nestory Irankunda,Australia,Watford,RW,LW,right,,边路爆点;右脚倾向,wide_attacker,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/nestory-irankunda/profil/spieler/933100,transfermarkt+fifa_squad,https://www.transfermarkt.com/nestory-irankunda/profil/spieler/933100,false,0.82,2026-06-19,2026-06-19
AU-MET,Connor Metcalfe,Australia,St Pauli,CM,DM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/connor-metcalfe/profil/spieler/709193,transfermarkt+fifa_squad,https://www.transfermarkt.com/connor-metcalfe/profil/spieler/709193,false,0.82,2026-06-19,2026-06-19
AU-OKO,Paul Okon-Engstler,Australia,Sydney FC,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.65,https://www.transfermarkt.com/paul-okon-engstler/profil/spieler/933101,transfermarkt+fifa_squad,https://www.transfermarkt.com/paul-okon-engstler/profil/spieler/933101,true,0.65,2026-06-19,2026-06-19
AU-SOU,Harry Souttar,Australia,Leicester,CB,,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/harry-souttar/profil/spieler/341434,transfermarkt+fifa_squad,https://www.transfermarkt.com/harry-souttar/profil/spieler/341434,false,0.82,2026-06-19,2026-06-19
AU-IRV,Jackson Irvine,Australia,St Pauli,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/jackson-irvine/profil/spieler/126656,transfermarkt+fifa_squad,https://www.transfermarkt.com/jackson-irvine/profil/spieler/126656,false,0.82,2026-06-19,2026-06-19
AU-RYA,Mathew Ryan,Australia,Levante,GK,,right,,右脚倾向,goalkeeper,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/mathew-ryan/profil/spieler/126657,transfermarkt+fifa_squad,https://www.transfermarkt.com/mathew-ryan/profil/spieler/126657,false,0.82,2026-06-19,2026-06-19
AU-BUR,Cameron Burgess,Australia,Swansea,CB,LB,left,,中卫防守核心;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/cameron-burgess/profil/spieler/341435,transfermarkt+fifa_squad,https://www.transfermarkt.com/cameron-burgess/profil/spieler/341435,false,0.82,2026-06-19,2026-06-19
AU-BOS,Jordan Bos,Australia,Feyenoord,LB,LM,left,,边路支撑点;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/jordan-bos/profil/spieler/709194,transfermarkt+fifa_squad,https://www.transfermarkt.com/jordan-bos/profil/spieler/709194,false,0.82,2026-06-19,2026-06-19
AU-GOO,Kusini Yengi,Australia,Machida,ST,CF,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/kusini-yengi/profil/spieler/709201,transfermarkt+fifa_squad,https://www.transfermarkt.com/kusini-yengi/profil/spieler/709201,false,0.82,2026-06-19,2026-06-19
AU-VOL,Cristian Volpato,Australia,Sassuolo,AM,CM,left,,肋部组织者;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/cristian-volpato/profil/spieler/709202,transfermarkt+fifa_squad,https://www.transfermarkt.com/cristian-volpato/profil/spieler/709202,false,0.82,2026-06-19,2026-06-19
AU-DEG,Milos Degenek,Australia,APOEL,CB,RB,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/milos-degenek/profil/spieler/341443,transfermarkt+fifa_squad,https://www.transfermarkt.com/milos-degenek/profil/spieler/341443,false,0.82,2026-06-19,2026-06-19
AU-ONE,Aiden O'Neill,Australia,NYCFC,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/aiden-oneill/profil/spieler/341444,transfermarkt+fifa_squad,https://www.transfermarkt.com/aiden-oneill/profil/spieler/341444,false,0.82,2026-06-19,2026-06-19
