team,team_code,group,player,position,club,source,notes
DR Congo,COD,K,Matthieu EPOLO,GK,Standard Liège (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Simon BANZA,FW,Al Jazira (UAE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Gedeon KALULU,DF,Aris Limassol FC (CYP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Edo KAYEMBE,MF,Watford FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Yahia FOFANA,GK,Çaykur Rizespor (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Ousmane DIOMANDE,DF,Sporting CP (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Ghislain KONAN,DF,Gil Vicente FC (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Jean SERI,MF,NK Maribor (SVN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Wilfried SINGO,DF,Galatasaray SK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Franck KESSIE,MF,Al Ahli FC (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Christopher OPERI,DF,Başakşehir FK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Oumar DIAKITE,FW,Cercle Brugge (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Mohamed KONE,GK,Sporting Charleroi (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Alban LAFONT,GK,Panathinaikos FC (GRE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Parfait GUIAGON,MF,Sporting Charleroi (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ivory Coast,CIV,E,Christ OULAI,MF,Trabzonspor (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Dominik LIVAKOVIC,GK,GNK Dinamo Zagreb (CRO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Josip SUTALO,DF,AFC Ajax (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Ivor PANDUR,GK,Hull City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Ivan PERISIC,FW,PSV Eindhoven (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Toni FRUK,MF,HNK Rijeka (CRO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Dominik KOTARSKI,GK,FC København (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Marco PASALIC,FW,Orlando City SC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Martin ERLIC,DF,FC Midtjylland (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Croatia,CRO,L,Petar MUSA,FW,FC Dallas (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Eloy ROOM,GK,Miami FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Shurandy SAMBO,DF,Sparta Rotterdam (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Jurien GAARI,DF,Abha Club (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Roshon VAN EIJMA,DF,RKC Waalwijk (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Sherel FLORANUS,DF,PEC Zwolle (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Godfried ROEMERATOE,MF,RKC Waalwijk (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Juninho BACUNA,MF,FC Volendam (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Livano COMENENCIA,MF,FC Zürich (SUI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Juergen LOCADIA,FW,Miami FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Leandro BACUNA,MF,Iğdır FK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Jeremy ANTONISSE,FW,AE Ki sia FC (GRE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Sontje HANSEN,FW,Middlesbrough FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Tyrese NOSLIN,FW,SC Telstar (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Kenji GORRE,FW,Maccabi Haifa FC (ISR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Arjany MARTHA,MF,Rotherham United FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Jearl MARGARITHA,FW,SK Beveren (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Brandley KUWAS,FW,FC Volendam (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Armando OBISPO,DF,PSV Eindhoven (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Gervane KASTANEER,FW,Terengganu FC (MAS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Joshua BRENET,DF,Kayserispor (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Tahith CHONG,MF,She eld United FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Kevin FELIDA,MF,FC Den Bosch (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Riechedly BAZOER,DF,Konyaspor (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Deveron FONVILLE,DF,NEC Nijmegen (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Tyrick BODAK,GK,SC Telstar (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Curacao,CUW,E,Trevor DOORNBUSCH,GK,VVV Venlo (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Matej KOVAR,GK,PSV Eindhoven (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,David ZIMA,DF,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Tomas HOLES,DF,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Stepan CHALOUPEK,DF,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Vladimir DARIDA,MF,FC Hradec Králové (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Jan KUCHTA,FW,AC Sparta Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Lukas CERV,MF,FC Viktoria Plzeň (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Mojmir CHYTIL,FW,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,David JURASEK,DF,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Jindrich STANEK,GK,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Lukas PROVOD,MF,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Michal SADILEK,MF,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Tomas CHORY,FW,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Jaroslav ZELENY,DF,AC Sparta Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,David DOUDERA,DF,SK Slavia Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Lukas HORNICEK,GK,SC Braga (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Alexandr SOJKA,MF,FC Viktoria Plzeň (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Hugo SOCHUREK,MF,AC Sparta Praha (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Czechia,CZE,A,Denis VISINSKY,FW,FC Viktoria Plzeň (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Hernan GALINDEZ,GK,CA Huracán (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Felix TORRES,DF,SC Internacional (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Joel ORDONEZ,DF,Club Brugge (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Jordy ALCIVAR,MF,Independiente Del Valle (ECU),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Anthony VALENCIA,MF,Royal Antwerp FC (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,John YEBOAH,FW,Venezia FC (ITA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Kevin RODRIGUEZ,FW,Royale Union Saint-Gilloise (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Moises RAMIREZ,GK,AE Ki sia FC (GRE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Enner VALENCIA,FW,CF Pachuca (MEX),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Alan MINDA,MF,Atlético Mineiro (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Pedro VITE,MF,Pumas UNAM (MEX),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Jordy CAICEDO,FW,CA Huracán (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Angelo PRECIADO,DF,Atlético Mineiro (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Denil CASTILLO,MF,FC Midtjylland (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Gonzalo PLATA,FW,CR Flamengo (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Alan FRANCO,MF,Atlético Mineiro (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Gonzalo VALLE,GK,LDU Quito (ECU),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Jackson POROZO,DF,Club Tijuana (MEX),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ecuador,ECU,E,Yaimar MEDINA,DF,KRC Genk (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mohamed MOHAMED ELSHENAWY,GK,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Yasser YASSER IBRAHIM,DF,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mohamed MOHAMED HANY,DF,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Hossam HOSSAM ABDELMAGUID,DF,Zamalek SC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Ramy RAMY RABIA,DF,Al Ain FC (UAE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mohamed MOHAMED ABDELMONEIM,DF,OGC Nice (FRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mahmoud TREZEGUET,FW,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Emam EMAM ASHOUR,MF,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Hamza HAMZA ABDELKARIM,FW,FC Barcelona (ESP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mostafa MOSTAFA ZICO,MF,Pyramids FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Ahmed AHMED FATOUH,DF,Zamalek SC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Hamdy HAMDY FATHY,MF,Al Wakrah SC (QAT),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Karim KARIM HAFEZ,DF,Pyramids FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mahdy MAHDY SOLIMAN,GK,Zamalek SC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mohanad MOHANAD LASHIN,MF,Pyramids FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Nabil NABIL DONGA,MF,Al Najmah SC (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Marawan MARAWAN ATTIA,MF,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Ibrahim IBRAHIM ADEL,FW,FC Nordsjælland (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mahmoud MAHMOUD SABER,MF,ZED FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mostafa MOSTAFA SHOUBIR,GK,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Tarek TAREK ALAA,DF,ZED FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Ahmed ZIZO,FW,Al Ahly FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Egypt,EGY,G,Mohamed MOHAMED ALAA,GK,El Gouna FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
England,ENG,L,Nico OREILLY,DF,Manchester City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
England,ENG,L,Ivan TONEY,FW,Al Ahli FC (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
France,FRA,I,Ngolo KANTE,MF,Fenerbahçe SK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
France,FRA,I,Theo HERNANDEZ,DF,Al Hilal SC (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Germany,GER,E,Antonio RUEDIGER,DF,Real Madrid C. F. (ESP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Germany,GER,E,Pascal GROSS,MF,Brighton & Hove Albion FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Germany,GER,E,Leroy SANE,MF,Galatasaray SK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Germany,GER,E,Alexander NUEBEL,GK,VfB Stuttgart (GER),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Lawrence ZIGI,GK,FC St. Gallen (SUI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Caleb YIRENKYI,MF,FC Nordsjælland (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Fatawu ISSAHAKU,FW,Leicester City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Jordan AYEW,FW,Leicester City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Brandon THOMAS-ASANTE,FW,Coventry City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Joseph ANANG,GK,St Patrick's Athletic FC (IRL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Christopher BAAH,FW,Al Qadsiah FC (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Benjamin ASARE,GK,Hearts Of Oak SC (GHA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Baba RAHMAN,DF,PAOK Saloniki (GRE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Jerome OPOKU,DF,Başakşehir FK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Augustine BOAKYE,MF,AS Saint-Etienne (FRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Derrick LUCKASSEN,DF,Pafos FC (CYP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Ghana,GHA,L,Prince ADU,FW,FC Viktoria Plzeň (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Johny PLACIDE,GK,SC Bastia (FRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Keeto THERMONCY,DF,BSC Young Boys (SUI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Ricardo ADE,DF,LDU Quito (ECU),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Hannes DELCROIX,DF,FC Lugano (SUI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Carl SAINTE,MF,El Paso Locomotive FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Derrick ETIENNE,FW,Toronto FC (CAN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Martin EXPERIENCE,DF,AS Nancy (FRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Duckens NAZON,FW,Esteghlal Tehran FC (IRN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Louicius DEEDSON,FW,FC Dallas (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Alexandre PIERRE,GK,FC Sochaux-Montbéliard (FRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Markhus LACROIX,DF,Colorado Springs Switchbacks FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Leverton PIERRE,MF,FC Vizela (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Ruben PROVIDENCE,FW,Almere City FC (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Lenny JOSEPH,FW,Ferencvárosi TC (HUN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Danley JEAN JACQUES,MF,Philadelphia Union (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Yassin FORTUNE,FW,FC Vizela (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Frantzdy PIERROT,FW,Çaykur Rizespor (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Jean-Kevin DUVERNE,DF,KAA Gent (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Josue DUVERGER,GK,FC Cosmos Koblenz (GER),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Wilguens PAUGAIN,DF,SV Zulte Waregem (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Dominique SIMON,MF,FC Tatran Prešov (SVK),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Haiti,HAI,C,Woodensky PIERRE,MF,Violette AC (HAI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Iran,IRN,G,Alireza BEIRANVAND,GK,Tractor Sazi Tabriz FC (IRN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Iran,IRN,G,Saleh HARDANI,DF,Esteghlal Tehran FC (IRN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Iran,IRN,G,Ehsan HAJISAFI,DF,Sepahan SC (IRN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
